category,feature,panzer_marshal,panzer_corps_2,order_of_battle,unity_of_command_2,hex_of_steel,four_star_general,fsg_priority
Progression,Persistent commander traits,Unit leaders,Yes,Yes,Yes,Yes,Yes,Retain
Progression,HQ command point upgrade tree,No,No,Specializations,Yes,Policies,No,Tier 1
Progression,Campaign force allocation into battle,No,No,No,Abstract,Varies,Yes,Differentiator
Progression,Battle survivors returned to campaign,Yes,Yes,Yes,Yes,Yes,No,Tier 0
Progression,Territory changed by battle outcome,Campaign path,Campaign path,Campaign path,Yes,Yes,Partial,Tier 0
Progression,Strategic AI opponent,Yes,Yes,Yes,Yes,Yes,No,Tier 0
Progression,Campaign victory and defeat arc,Yes,Yes,Yes,Yes,Yes,No,Tier 0
Air and naval,Strike escort and CAP planning,Partial,On-map air,On-map air,Abstract assets,On-map air,Yes,Differentiator
Air and naval,Air transport or airborne drop,Yes,Yes,Yes,Air assets,Yes,Yes,Retain
Air and naval,Tactical naval combat,Limited,Yes,Yes,Abstract,Yes,No,Tier 2
Air and naval,Naval transport and amphibious operations,Yes,Yes,Yes,Yes,Yes,Partial,Tier 1
AI,Tactical opponent AI,Yes,Yes,Yes,Yes,Yes,Yes,Retain
AI,Objective terrain LOS and combined-arms behavior,Partial,Yes,Yes,Yes,Yes,Yes,Retain
AI,Multiple difficulty levels,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Persistence,Player-facing battle save and load,Yes,Yes,Yes,Yes,Yes,Partial,Tier 0
Persistence,Tactical autosave,Yes,Yes,Yes,Yes,Yes,No,Tier 0
Persistence,Multiple or cloud save flow,Cloud,Cloud,Yes,Yes,Yes,No,Tier 1
UX,Combat forecast and breakdown,Yes,Yes,Yes,Yes,Yes,Yes,Retain
UX,Activity log and after-action information,Yes,Yes,Yes,Yes,Yes,Partial,Tier 1
UX,Keyboard controls,Yes,Yes,Yes,Yes,Yes,Yes,Retain
UX,Touch or mobile controls,Yes,No,No,No,Yes,No,Tier 2
Tools,Scenario or map editor,Not verified,Yes,Yes,Yes,Yes,No,Tier 1
Tools,Campaign or unit editor,Not verified,Yes,Partial,Yes,Yes,Partial,Tier 1
Tools,Supported mods or Workshop,Source data,Community editor,Moddable data,Workshop,Workshop,No,Tier 1
Multiplayer,Local hotseat,Yes,Yes,Yes,No,Yes,No,Tier 2
Multiplayer,Asynchronous or PBEM,No,Yes,Yes,No,Yes,No,Tier 2
Multiplayer,Live online or cooperative play,No,Yes,Yes,No,Yes,No,Tier 2
